time_key,hour,minute,time_of_day_band,is_business_hour
1426,14,26,afternoon,TRUE
1427,14,27,afternoon,TRUE
1428,14,28,afternoon,TRUE
1429,14,29,afternoon,TRUE
1430,14,30,afternoon,TRUE
1431,14,31,afternoon,TRUE
1432,14,32,afternoon,TRUE
1433,14,33,afternoon,TRUE
1434,14,34,afternoon,TRUE
1435,14,35,afternoon,TRUE
1436,14,36,afternoon,TRUE
1437,14,37,afternoon,TRUE
1438,14,38,afternoon,TRUE
1439,14,39,afternoon,TRUE
1440,14,40,afternoon,TRUE
1441,14,41,afternoon,TRUE
1442,14,42,afternoon,TRUE
1443,14,43,afternoon,TRUE
1444,14,44,afternoon,TRUE
1445,14,45,afternoon,TRUE
1446,14,46,afternoon,TRUE
1447,14,47,afternoon,TRUE
1448,14,48,afternoon,TRUE
1449,14,49,afternoon,TRUE
1450,14,50,afternoon,TRUE
1451,14,51,afternoon,TRUE
1452,14,52,afternoon,TRUE
1453,14,53,afternoon,TRUE
1454,14,54,afternoon,TRUE
1455,14,55,afternoon,TRUE
1456,14,56,afternoon,TRUE
1457,14,57,afternoon,TRUE
1458,14,58,afternoon,TRUE
1459,14,59,afternoon,TRUE
1500,15,0,afternoon,TRUE
1501,15,1,afternoon,TRUE
1502,15,2,afternoon,TRUE
1503,15,3,afternoon,TRUE
1504,15,4,afternoon,TRUE
1505,15,5,afternoon,TRUE
1506,15,6,afternoon,TRUE
1507,15,7,afternoon,TRUE
1508,15,8,afternoon,TRUE
1509,15,9,afternoon,TRUE
1510,15,10,afternoon,TRUE
1511,15,11,afternoon,TRUE
1512,15,12,afternoon,TRUE
1513,15,13,afternoon,TRUE
1514,15,14,afternoon,TRUE
1515,15,15,afternoon,TRUE
1516,15,16,afternoon,TRUE
1517,15,17,afternoon,TRUE
1518,15,18,afternoon,TRUE
1519,15,19,afternoon,TRUE
1520,15,20,afternoon,TRUE
1521,15,21,afternoon,TRUE
1522,15,22,afternoon,TRUE
1523,15,23,afternoon,TRUE
1524,15,24,afternoon,TRUE
1525,15,25,afternoon,TRUE
1526,15,26,afternoon,TRUE
1527,15,27,afternoon,TRUE
1528,15,28,afternoon,TRUE
1529,15,29,afternoon,TRUE
1530,15,30,afternoon,TRUE
